Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Gambling surveillance officers and gambling investigators    * Casino Investigator* Casino Surveillance Officer* Gambling Monitor* Gaming Surveillance Observer* Gaming Surveillance Officer,33-9031,10.5,11.1,0.6,5.6,1.4,"34,190",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Shipping, receiving, and inventory clerks    * Freight Clerk* Incoming Freight Clerk* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Store Receiving Clerk",43-5071,710.4,648.8,-61.5,-8.7,54.3,"34,190",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician,39-5094,78.6,91.6,13.1,16.6,10,"34,090",Postsecondary nondegree award,5,None,4,None,6
"Office clerks, general    * Administrative Clerk* Office Assistant* Office Clerk* Real Estate Clerk",43-9061,"3,126.30","2,970.40",-155.9,-5,317.5,"34,040",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Molders, shapers, and casters, except metal and plastic    * Almond Paste Molder* Burial Vault Maker* Cigar Roller* Clay Modeler* Concrete Vault Maker* Glass Bender* Glass Block Bender* Glass Blower* Glass Presser* Glass Tube Bender* Mannequin Mold Maker* Neon Glass Bender* Neon Glass Blower* Neon Molder* Neon Tube Bender* Rubber Molder* Stone Carver",51-9195,49.4,46.4,-3,-6.1,4.4,"34,030",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Pharmacy technicians    * CPHT* Certified Pharmacy Technician* Pharmacist Technician* Pharmacy Laboratory Technician* Pharmacy Technician,29-2052,422.3,437.6,15.2,3.6,33.4,"33,950",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member,49-9095,2.9,2.2,-0.6,-22.3,0.1,"33,890",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Psychiatric technicians    * Behavioral Health Technician* Mental Health Technician* Psychiatric Technician,29-2053,82.8,93.8,11,13.3,7.6,"33,780",Postsecondary nondegree award,5,Less than 5 years,2,Short-term on-the-job training,5
"Plating machine setters, operators, and tenders, metal and plastic    * Anodizer* Chrome Plater* Chromium Plater* Copper Plater* Electro Plater* Electrogalvanizing Machine Operator* Electroplater* Galvanizer* Hard Chrome Plater* Metal Plater* Metal Spraying Machine Operator* Metalizing Machine Operator* Nickel Plater* Plating Machine Operator* Tin Plater",51-4193,42.1,38.4,-3.7,-8.8,3,"33,500",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher,43-9021,172.4,130,-42.4,-24.6,10.9,"33,490",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Office machine operators, except computer    * Business Machine Operator* Coin Machine Operator* Coin Rolling Machine Operator* Coin Wrapping Machine Operator* Collator Operator* Copy Center Operator* Copy Machine Operator* Duplicating Machine Operator",43-9071,47.3,41.1,-6.2,-13.1,3.8,"33,450",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
First-line supervisors of food preparation and serving workers    * Banquet Supervisor* Bar Manager* Cafeteria Manager* Dairy Bar Manager* Food Service Supervisor* Head Waiter* Head Waitress* Kitchen Supervisor,35-1012,"1,039.30","1,100.20",60.9,5.9,152.6,"33,400",High school diploma or equivalent,7,Less than 5 years,2,None,6
Medical transcriptionists    * Certified Medical Transcriptionist* Medical Record Transcriber* Medical Stenographer* Medical Transcriber* Medical Transcriptionist* Pathology Transcriptionist* Radiology Transcriptionist* Registered Medical Transcriptionist,31-9094,58.5,57.2,-1.3,-2.2,6.9,"33,380",Postsecondary nondegree award,5,None,4,None,6
"Woodworkers, all other    * Pole Framer* Timber Framer* Wood Carver* Wood Casket Assembler* Wood Veneer Taper",51-7099,11.7,11.1,-0.5,-4.6,1.1,"33,110",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Helpers--carpenters    * Beam Builder Helper* Building Carpenter Helper* Carpenter Assistant* Carpenter Helper* Construction Carpenters Helper* Hardwood Floor Installation Helper* House Carpenter Helper,47-3012,33.2,33.7,0.4,1.3,3.9,"33,060",No formal educational credential,8,None,4,Short-term on-the-job training,5
Print binding and finishing workers    * Bindery Cutter Operator* Bindery Folder Operator* Bindery Machine Operator* Bindery Worker* Book Repairer* Bookbinder* Bookbinding Machine Operator* Case Binder Operator* Foil Stamp Operator* Perfect Binder Operator* Saddle Stitch Operator* Saddle Stitcher Operator* Spiral Binder Operator,51-5113,45.2,38.5,-6.7,-14.8,4.3,"33,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Painting, coating, and decorating workers    * Ceramic Painter* China Decorator* Glass Decorator* Lacquerer* Sign Painter",51-9123,12.8,12.7,-0.1,-0.5,1.2,"32,950",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Motor vehicle operators, all other    * Assembly Line Driver* Ice-Resurfacing Machine Operators* Motorcycle Deliverer* Street Cleaning Equipment Operator* Street Sweeper Operator",53-3099,61.7,63.6,1.9,3.1,9.9,"32,910",No formal educational credential,8,None,4,Short-term on-the-job training,5
Helpers--electricians    * Electrical Sign Wirer Helper* Electrician's Assistant* House Wirer Helper* Marine Electrician Helper* Stage Electrician Helper* Utilities Ground Worker,47-3013,81.1,82.3,1.2,1.5,9.5,"32,830",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk,43-4071,106.7,91.1,-15.6,-14.6,9.4,"32,710",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Ophthalmic laboratory technicians    * Contact Lens Cutter* Contact Lens Technician* Eyeglass Assembler* Eyeglass Lens Cutter* Eyeglass Maker* Lens Grinder* Lens Grinder and Polisher* Lens Mounter* Precision Lens Centerer and Edger* Prescription Eyeglass Maker,51-9083,30.2,32.5,2.3,7.6,3.7,"32,620",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker,51-3021,137.5,139.8,2.3,1.7,14.9,"32,500",No formal educational credential,8,None,4,Long-term on-the-job training,3
Furniture finishers    * Cabinet Finisher* Furniture Refinisher* Furniture Sander* Piano Refinisher* Wood Cabinet Finisher,51-7021,17.4,16.7,-0.6,-3.7,1.7,"32,480",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Miscellaneous assemblers and fabricators,51-2090,"1,389.10","1,211.50",-177.6,-12.8,113.2,"32,350",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Photographic process workers and processing machine operators    * Digital Imaging Technician* Digital Photo Printer* Digital Photo Technician* Digital Retoucher* Film Developing Machine Operator* Film Printer* Film Process Operator* Film Processor* Photo Lab Specialist* Photo Lab Technician* Photo Machine Operator* Photo Print Specialist* Photo Retoucher* Print Retoucher,51-9151,12.3,9.9,-2.4,-19.4,1.3,"32,280",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic    * Aluminum Molding Machine Operator* Blow Mold Operator* Compression Molding Machine Operator* Plastic Cup Fabricating Machine Operator",51-4072,173.4,156.7,-16.7,-9.6,12.6,"32,130",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Helpers--roofers    * Hot Tar Roofer Helper* Industrial Roofer Helper* Residential Roofer Helper* Roofer Assistant* Roofer Helper* Roofing Laborer* Shingles Roofer Helper* Slate Roofer Helper* Terra Cotta Roofer Helper,47-3016,9.1,9.5,0.3,3.5,1.1,"32,110",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters    * Gas Main Fitter Helper* Hydraulic Plumber Helper* Industrial Gas Fitter Helper* Marine Pipefitter Helper* Marine Steam Fitter Helper* Pipe Fitter Helper* Plumber Assistant* Plumber Helper* Sewer Pipe Layer Helper* Sprinkler Fitter Helper* Trench Pipe Layer Helper* Water Main Installer Helper",47-3015,59.3,62.6,3.3,5.6,7.3,"32,100",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Grounds maintenance workers, all other    * Trail Construction Worker* Trail Maintenance Worker* Trailhead Construction Worker* Trailhead Maintenance Worker* Tree Trimmer Helper",37-3019,17.4,18.5,1.1,6.5,2.2,"32,090",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Teaching assistants, postsecondary",25-9044,169.6,175.4,5.8,3.4,13.4,"32,080",Bachelor's degree,3,None,4,None,6
Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver,45-2091,70.3,78.3,8,11.4,11.6,"31,950",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Helpers, construction trades, all other    * Boiler Coverer Helper* Bridge Ironworker Helper* Carpet Layer Helper* Cellulose Insulation Helper* Construction Ironworker Helper* Cork Insulator Helper* Drywall Hanger Helper* Drywall Stripper Helper* Drywall Taper Helper* HVAC Sheet Metal Installer Helper* Heat and Frost Insulator Helper* Linoleum Layer Helper* Ornamental Ironworker Helper* Pipe Insulator Helper* Plate Glass Installer Helper* Post Tensioning Ironworker Helper* Rod Buster Helper* Sheet Metal Duct Installer Helper* Sheet Rock Installation Helper* Sheet Rock Taper Helper* Stained Glass Glazier Helper* Terrazzo Finisher Helper* Terrazzo Layer Helper* Terrazzo Worker Helper* Trench Digger Helper* Wall Taper Helper* Window Glazier Helper",47-3019,28.8,30,1.2,4.2,3.5,"31,910",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator",51-9192,16.3,16.5,0.2,1.4,2.3,"31,850",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Sales and related workers, all other    * Auctioneer* Blood Donor Recruiter* Leaflet Distributor* Livestock Auctioneer* Personal Shopper* Store Gift Wrap Associate",41-9099,142.9,145.6,2.7,1.9,16.9,"31,820",High school diploma or equivalent,7,None,4,None,6
Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer,45-4011,13.2,13.1,-0.1,-0.5,1.8,"31,770",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Material moving workers, all other    * Freight Elevator Operator",53-7199,29.8,30.3,0.5,1.5,3.3,"31,770",No formal educational credential,8,None,4,Short-term on-the-job training,5
Parts salespersons    * Appliance Parts Counter Clerk* Auto Parts Salesperson* Electronic Parts Salesperson* Parts Clerk* Parts Counter Clerk,41-2022,261.7,267,5.3,2,29.1,"31,710",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger",21-2099,65,67.1,2.1,3.2,8.3,"31,630",Bachelor's degree,3,None,4,None,6
"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator",51-3091,22.1,21.9,-0.2,-0.8,2.4,"31,590",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker",51-6052,37.3,35.7,-1.6,-4.3,4.3,"31,520",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Concierges    * Activities Concierge* Club Concierge* Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent,39-6012,42.6,45.5,2.9,6.7,6,"31,390",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Helpers--painters, paperhangers, plasterers, and stucco masons    * Billboard Poster Helper* Bridge Painter Helper* Dry Plasterer Helper* Highway Painter Helper* House Painter Helper* Ornamental Plasterer Helper* Plaster Tender* Ship Painter Helper* Swimming Pool Plasterer Helper* Wallpaper Hanger Helper* Wallpaperer Helper",47-3014,11,11.2,0.2,1.9,1.3,"31,340",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Passenger vehicle drivers, except bus drivers, transit and intercity",53-3058,853.3,947.8,94.4,11.1,104,"31,340",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper",37-2019,19.4,20.4,0.9,4.8,2.5,"31,230",No formal educational credential,8,None,4,Short-term on-the-job training,5
Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller,43-3071,449,380.4,-68.6,-15.3,36.7,"31,230",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator,53-7063,62.9,63,0.1,0.2,7,"31,180",No formal educational credential,8,None,4,Short-term on-the-job training,5
Food cooking machine operators and tenders    * Doughnut Machine Operator* Dumpling Machine Operator* Fish Fryer* Food Cooking Machine Operator* Kettle Fry Cook Operator* Pierogi Maker* Potato Chip Frier* Tripe Cooker,51-3093,30.4,30.6,0.2,0.5,4.8,"31,110",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Psychiatric aides,31-1133,59.5,66,6.5,10.9,7.1,"31,110",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Packaging and filling machine operators and tenders    * Bottle Capper* Bottle Line Worker* Bottle Packer* Can Filler* Can Sealer* Keg Filler* Potato Chip Packaging Machine Operator* Tea Bag Packer,51-9111,392.1,397.6,5.5,1.4,40.6,"30,990",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"School bus monitors and protective service workers, all other",33-9098,145.6,151.8,6.2,4.3,36.7,"30,990",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Woodworking machine setters, operators, and tenders, except sawing    * CNC Wood Lathe Operator* Roof Truss Builder* Speed Belt Sander* Tenon Operator* Wood Boring Machine Operator* Wood Dowel Machine Operator* Wood Lathe Operator* Wood Planer",51-7042,79.3,77.4,-1.9,-2.4,9.3,"30,990",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk",43-9051,88.4,82.5,-6,-6.7,8.3,"30,960",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Demonstrators and product promoters    * Home Demonstrator* Home Service Demonstrator* Hostess Party Sales Representative* In-Store Demonstrator,41-9011,88.1,90.9,2.7,3.1,15.3,"30,930",No formal educational credential,8,None,4,Short-term on-the-job training,5
Food batchmakers    * Almond Paste Mixer* Candy Maker* Candy Puller* Cheese Processor* Cottage Cheese Maker* Dough Scaler and Mixer* Frozen Yogurt Maker* Honey Blender* Ice Cream Maker* Liquid Sugar Fortifier* Peanut Butter Maker* Pickle Maker* Relish Maker* Taffy Puller,51-3092,162.5,164.7,2.1,1.3,20.1,"30,790",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Cooks, all other    * Falafel Cart Cook* Fraternity House Cook",35-2019,21.8,22.5,0.8,3.5,2.9,"30,760",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver,51-9194,12.9,12.3,-0.6,-4.6,1.3,"30,620",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator",43-2011,69.9,54.1,-15.7,-22.5,4.7,"30,610",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Grinding and polishing workers, hand    * Hand Buffer* Hand Sander* Jewelry Grinder* Jewelry Polisher* Knife Grinder* Ring Polisher",51-9022,29,23.4,-5.6,-19.5,2.1,"30,600",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer,51-6042,5.3,4.6,-0.8,-14.5,0.5,"30,570",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper",49-9098,101.1,105.5,4.4,4.4,13,"30,530",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher",25-2011,540.4,553.9,13.5,2.5,50.6,"30,520",Associate's degree,4,None,4,None,6
Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer,37-3011,"1,188.00","1,307.90",119.9,10.1,158.9,"30,440",No formal educational credential,8,None,4,Short-term on-the-job training,5
Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer,39-2011,50.2,56.9,6.7,13.3,7.6,"30,430",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator",51-7041,54.5,50.8,-3.8,-6.9,5,"30,410",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic,49-3091,13.2,13.8,0.6,4.9,1.4,"30,330",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter",51-9031,9.8,6.9,-2.9,-29.9,0.6,"30,200",No formal educational credential,8,None,4,Short-term on-the-job training,5
Barbers    * Barber* Barber Apprentice* Master Barber,39-5011,66.5,71.5,5,7.5,7.2,"30,150",Postsecondary nondegree award,5,None,4,None,6
Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk,43-4171,"1,105.30","1,144.70",39.5,3.6,139.2,"30,050",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile knitting and weaving machine setters, operators, and tenders    * Crochet Machine Operator* Jacquard Loom Weaver* Knitter Operator* Knitting Machine Operator* Loom Operator* Looping Machine Operator* Warp Knitting Machine Operator",51-6063,24.8,21.6,-3.2,-12.8,2.4,"29,980",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver",51-6051,7.5,6.9,-0.6,-7.9,0.8,"29,950",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Production workers, all other",51-9199,238.6,243.7,5.1,2.1,24.7,"29,800",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Textile winding, twisting, and drawing out machine setters, operators, and tenders    * Rope Machine Setter* Roving Winder* Silk Winding Machine Operator* Twister Operator* Winder Operator",51-6064,31,28,-3,-9.7,2.2,"29,790",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Crossing guards and flaggers    * Construction Site Crossing Guard* Crossing Guard* School Crossing Guard* School Traffic Guard,33-9091,86.7,91.6,5,5.7,15.4,"29,760",No formal educational credential,8,None,4,Short-term on-the-job training,5
Couriers and messengers    * Bank Courier* Bicycle Messenger* Courier* Court Messenger* Laboratory Courier* Office Messenger* Office Runner,43-5021,121.8,119.1,-2.7,-2.2,10.4,"29,690",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer,33-9032,"1,154.10","1,186.80",32.8,2.8,142.7,"29,680",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Nursing assistants,31-1131,"1,528.50","1,645.50",116.9,7.6,174,"29,660",Postsecondary nondegree award,5,None,4,None,6
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman",45-2099,12.3,12.7,0.4,2.9,1.8,"29,590",No formal educational credential,8,None,4,Short-term on-the-job training,5
Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoemaker,51-6041,10.8,9.7,-1.1,-10.3,1,"29,560",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer",53-7062,"2,986.00","3,111.70",125.7,4.2,380.6,"29,510",No formal educational credential,8,None,4,Short-term on-the-job training,5
Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer,27-1026,180.4,174.2,-6.2,-3.4,14.6,"29,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer,51-6061,9,7.9,-1.1,-11.9,0.9,"29,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Advisor* Residential Director* Residential Life Director* Sorority Mother,39-9041,115.2,128.7,13.6,11.8,18.5,"29,450",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member,11-1031,53.7,57,3.3,6.2,3.9,"29,270",Bachelor's degree,3,Less than 5 years,2,None,6
Occupational therapy aides    * Certified Occupational Rehabilitation Aide* OT Aide* Occupational Rehabilitation Aide* Occupational Therapist Aide* Rehabilitation Services Aide,31-2012,8,9.5,1.6,19.9,1,"29,230",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer,51-3023,75,77.5,2.5,3.3,8.3,"29,230",No formal educational credential,8,None,4,Short-term on-the-job training,5
Helpers--production workers    * Blending Tank Helper* Commercial Baker Helper* Machinist Helper* Slitter Helper* Tailor Helper* Welder Helper* Woodworker Helper,51-9198,304.2,325,20.8,6.8,44.1,"29,100",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Orderlies,31-1132,50.6,53.1,2.5,5,5.6,"28,980",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Counter and rental clerks    * Airplane Charter Clerk* Apartment Rental Clerk* Automobile Rental Clerk* Bicycle Rental Clerk* Boat Rental Clerk* Car Rental Agent* Dry Cleaning Counter Clerk* Layaway Clerk* Rental Clerk* Storage Facility Rental Clerk* Video Rental Clerk,41-2021,420.4,424.9,4.5,1.1,46.1,"28,820",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Substitute teachers, short-term",25-3031,619.4,635.3,15.9,2.6,67.3,"28,790",Bachelor's degree,3,None,4,None,6
"Textile cutting machine setters, operators, and tenders    * Bedspread Cutter* Canvas Cutter* Cloth Cutter* Industrial Fabric Cutter* Textile Slitting Machine Operator* Twill Cutter* Upholstery Cutter* Welt Trimming Machine Operator",51-6062,13.1,11.8,-1.4,-10.5,0.9,"28,730",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tire repairers and changers    * Auto Tire Worker* Tire Balancer* Tire Fixer* Tire Mechanic* Tire Mounter* Tire Servicer* Tire Technician,49-3093,113.4,116,2.6,2.3,12,"28,640",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Veterinary assistants and laboratory animal caretakers    * Laboratory Animal Caretaker* Veterinarian Assistant* Veterinarian Helper* Veterinary Attendant,31-9096,99.5,115.2,15.7,15.8,16.9,"28,590",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Umpires, referees, and other sports officials    * Athletic Events Scorer* Baseball Umpire* Diving Judge* Dressage Judge* Equestrian Events Judge* Handicapper* Horse Show Judge* Paddock Judge* Pit Steward* Placing Judge* Race Starter",27-2023,22.8,24.6,1.8,8,3.4,"28,550",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Dietetic Technician* Nutrition Technician* Registered Diet Technician,29-2051,30.2,32,1.8,5.9,2.5,"28,400",Associate's degree,4,None,4,None,6
Models    * Artist's Model* Clothes Model* Fashion Model* Figure Model* Hand Model* Hat Model* Model* Photographer's Model* Studio Model,41-9012,2.7,2.7,0,0.5,0.5,"28,350",No formal educational credential,8,None,4,None,6
"Gambling service workers, all other    * Card Table Attendant* Pit Clerk* Poker Prop Player* Proposition Player* Shill",39-3019,10.9,11.6,0.7,6.5,1.7,"28,300",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Meat, poultry, and fish cutters and trimmers    * Crab Picker* Deboner* Fish Cutter* Fish Filleter* Frozen Meat Cutter* Meat Trimmer* Oyster Shucker* Poultry Cutter* Poultry Eviscerator* Shrimp Peeler* Shrimp Picker* Wing Scorer",51-3022,161.8,164.5,2.7,1.7,17.5,"28,100",No formal educational credential,8,None,4,Short-term on-the-job training,5
